case_id;year;month;day;country_id;iso3;country_name;region;city/village;location;location_latitude;location_longitude;location_accuracy;incident_type;perpetrator_type;organizational_affiliation;organizational_affiliation_2;loneactor_id;target_group;grouped_target_group;target_group_2;grouped_target_group_2;weapon_type;grouped_weapon_type;weapon_type_2;grouped_weapon_type_2;weapon_description;fatal;n_killed;n_wounded;description;plot_type;plot_targeting;plot_operational_planning
1990-10-7;1990;10;7;6;DEU;Germany;Brandenburg;Lübbenau;m;51.85579568635614;13.950898698729885;2;2;4;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;1;Both the perpetrators and the victim had been at the same disco, which was a popular meeting place for both the right-wing scene and Poles from a nearby dormitory. The night had been peaceful, but at the end of the night three skinheads began verbally insulting foreigners on the terrace outside the disco. They walked up to a group of people and bumped into them. A Polish man approached the group and sprayed the skinheads with pepper spray. After rinsing their eyes, they attacked the man and another unknown Pole. One of the skinheads jumped on the upper body of the unknown Pole. The next morning the Polish man was found stabbed to death near the restaurant with an irritant gas can in his hand. The three men were sentenced to between eight months and three years imprisonment. The perpetrators were also involved in a mass attack on an asylum centre. The victim was the first victim of right-wing violence in reunified Germany.;;;
1990-10-30;1990;10;30;16;SWE;Sweden;;Tyringe;;;;;1;5;;;;102;Ethnic/religious minorities;;;200;Arson/firebomb;;;Arson;0;0;1;Two men threw a firebomb against a house where a Syrian family and another family lived. At least one person was injured. One of the men was involved in an attack in Fagersta in 1992. He claimed at the trial that he could not stand Arabs. See CaseID: 1992-m-d-b;;;
1990-11-17;1990;11;17;6;DEU;Germany;Bavaria;Kempten;m;47.727933886130145;10.315311538237115;2;1;1;Anti-Kanaken-Front Kempten;;;102;Ethnic/religious minorities;;;200;Arson/firebomb;;;Arson;1;1;3;"Unknown perpetrator(s) spilled flammable liquid and started fires in front of two apartment doors, located on the second and third floor. Three people were seriously injured, and a five-year-old boy died in the hospital due to smoke inhalation. In 2020, the case was reopened after a person from ""Allgäu rechtsaußen"" questioned the police investigation. A few days after the incident, a group called “Anti Kanaken Front Kempten” distributed a letter of confession written in runic script and decorated with a swastika. It stated that it was a “very successful attack”, was “just the beginning” and that they would ""not rest until Kempten is freed from all un-German creatures."" It went on to say that Kempten would be the ""first city not plagued by gays, leftists, foreigners and other pigs."" However, the confession was quickly disregarded by police who investigated on the suspicion of revenge or anger between the residents themselves. Prior to the fire there was a dispute over the use of the ground floor. The initial investigation did not yield any results and stopped after two years.";;;
1990-11-24;1990;11;24;6;DEU;Germany;Brandenburg;Eberswalde;Eberswalder Straße 24a;52.83992984522807;13.763864282944093;1;1;4;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;400;Knives/bladed weapons and sharp objects;Beating/kicking and knife;1;1;2;"Neo-Nazi skinheads from several towns gathered in an apartment of a neo-Nazi in Eberswalde. They teamed up with about 50 other young people from a discotheque to ""clap n******"", as one of the defendants later put it in the trial. The group encountered the victim and two men from Mozambique. The victim was brutally beaten by members of the group and suffered severe head injuries. He did not wake up from the coma and died eleven days later. The two Mozambicans escaped with serious injuries after being stabbed. ";;;
1990-12-28;1990;12;28;6;DEU;Germany;Rheinland-Pfalz;Hachenburg;m;50.66001945162539;7.81872186724324;2;1;2;Taunusfront;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;2;"In the run-up to the murder, the victim and his family had been attacked by neo-Nazis for weeks with insults and threats. The neo-nazis had their meeting point at a parking garage opposite the family's house. A total of six people gathered in front of the house and chanted ""Kanaken out"", whereupon the victim and two of his brothers stepped out and an argument erupted. One of the skinheads stabbed the victim in the back, hitting him in the heart. The murderer described himself as the ""ringleader"" of a group called ""Taunusfront"" ";;;
1990-12-31;1990;12;31;6;DEU;Germany;Niedersachsen;Göttingen;Friedensstraße;51.520665506649266;9.948788552047404;1;1;8;;;;200;Political opponents;;;400;Knives/bladed weapons and sharp objects;600;Beating/kicking;Knife;1;1;0;Two 17-year-old skinheads stabbed a 21-year-old anti-fascist to death. The victim was on his way home from a New Year's eve party with a friend when they met the two perpetrators, who had set out with the intent of 'knocking out leftists floating around.' The perpetrators starts beating the victim before stabbing him five times. His friend fled the scene. The victim died early in the morning after massive blood loss. The perpetrators were arrested and the main offender was sentenced to six years in juvenile detention. The death marked a climax in a long series of attacks by neo-Nazis in Göttingen against leftists and foreigners. ;;;
1990-12-d;1990;12;d;16;SWE;Sweden;;Säffle;;;;;1;5;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;200;Arson/firebomb;Knife and arson;0;0;0;Two drunken young men threatened some refugees with a knife. Later the same night the men tried to set fire to a refugee centre. At the trial they claimed that there were too many immigrants in the city and that their aim had been to scare them away. There is limited information about this case. ;;;
1990-m-d;1990;m;d;16;SWE;Sweden;Västra Götaland;Gothenburg;;;;;1;99;;;;200;Political opponents;;;101;Explosives;;;Letter bomb;0;0;m;A letter bomb was sent to a well known anti-racist in Gothenburg. The incident is likely connected to CaseID 1990-6-8 and CaseID 1991-12-30.;;;
1991-2-15;1991;2;15;18;GBR;United Kingdom;England;London;Eltham;51.45073392240852;0.056320196635159435;1;2;4;Unknown;;;103;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;The 15-year-old victim and his 14-year-old brother were standing at a bus stop when they were confronted by more than a dozen white youths, between 16 and 26 years old, who hurled racist abuse at them. The victim was stabbed from behind while his brother escaped, only to return to find the victim had been fatally stabbed. Many of the perpetrators were already known to the police as they regularly terrorised the local black community. The police quickly identified and arrested the suspects. One of the youths was convicted of murder while four others were convicted of violent disorder and sentenced to community service. One of the indicted was later involved in a second racist murder (caseID 1993-4-22).;;;
1991-4-6;1991;4;6;6;DEU;Germany;Sachsen;Dresden;Albertplatz tram stop;51.06357103216014;13.745911667370962;1;2;8;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;Some people from a group of around 14 right-wing teenagers racially insulted and attacked the victim when he got on the tram. About 150 meters after leaving the stop, the tram driver noticed that a door was open. The driver slowed down the and found the victim lying on the ground next to the tracks. The victim died after almost a week as a result of head injuries. It is unknown whether he was forced to jump, pushed or fell out of the tram car. However, a previous neo-nazi stated during the trial that one of the perpetrators forced the victim to jump by pointing a knife at him. The Dresden Regional Court sentenced one of the accused to two years and six months imprisonment for negligent murder. Two co-defendants were sentenced to one year and six months probation.;;;
1991-5-19;1991;5;19;10;ITA;Italy;Lazio;Rome;Via Filippo Serafini 57;41.86218885322554;12.574089975866523;1;1;7;Disoccupati Italiani Nazionalisti;;;200;Political opponents;;;200;Arson/firebomb;600;Beating/kicking;Arson and beating;1;1;0;"Arson attack on a social center in which one person died. There were found signs of beating on the victims body. Fascist writings and swastikas had appeared outside the center in the days prior to the incident.  A few days after the incident, the attack was claimed by an unknown group ""Disoccupati Italiani Nazionalisti""";;;
1991-6-4;1991;6;4;6;DEU;Germany;Niedersachsen;Gifhorn;Kästorf;52.52978400005409;10.52382215209382;1;2;6;;;174;401;Marginalized groups;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;"A 39-year-old homeless person was stabbed to death by a 17-year-old youth in a forest. The perpetrator belonged to the local right-wing skinhead scene and called the victim ""scum"". The Hildesheim Regional Court sentenced the 17-year-old perpetrator to a six-year youth sentence for manslaughter. ";;;
1991-6-15;1991;6;15;16;SWE;Sweden;Västra Götaland;Uddevalla;Tureborg;58.34376002324265;11.950507698091108;1;2;4;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;A Syrian refugee was stabbed to death by three nazis. It took three weeks before the body was discovered. Two of the perpetrators received a three year sentence and the last one a sentence of one and a half years.There is limited information about this case. ;;;
1991-6-16;1991;6;16;6;DEU;Germany;Baden-Württemberg;Friedrichshafen;Bleibtreu bar;47.65283889559984;9.477316055594816;1;2;5;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;A 34-year-old Angolan man was first beaten and then stabbed by a Nazi skinhead. The perpetrator had met with other right-wing skinheads that afternoon. They had racially insulted and threatened dark-skinned bypassers. At a bar known as a meeting place for right-wing skinheads, the drunk perpetrator was bumped into by the victim on the dancefloor. The perpetrator drew his knife and stabbed the victim three times in the chest. Altough he recieved help, the victim died on the way to the hospital. ;;;
1991-7-28;1991;7;28;16;SWE;Sweden;;Säffle;;;;;1;4;Vitt Ariskt Motstånd;;;102;Ethnic/religious minorities;;;802;Other;600;Beating/kicking;Tear gas, beating/kicking and wooden sticks;0;0;5;"A mob of around 20 people in Säffle, among them several prominent VAM activists, attacked five refugees from Syria and Lebanon. Suddenly, three of the perpetrators had unprovokedly approached the victims and racially insulted them, among other things by referring to their skin color and by calling them ""j**** svartskalle"" [fucking blacks]. The perpetrators then spat at the victims, before spraying their faces with some kind of gas. The three perpetrators also encouraged other nearby Swedes to join the attack. One of the victims was injured by the gas and fell to the ground. While on the ground, the group started beating and kicking him. The victim's friends, who tried to intervene, were also beaten up. When another victim tried to flee, he was followed and further beaten and kicked. The larger perpetrator group then joined the assault, armed with wooden sticks. All the victims were injured, and five of the perpetrators were tried in court and received sentences.";;;
1991-8-3;1991;8;3;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;1;"The perpetrator shot an Eritrean student in the back, who survived. Two of the victim's friends said they saw a circle of red light on his body before they heard the shot. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1991-8-9;1991;8;9;6;DEU;Germany;Mecklenburg-Vorpommern;Ueckermünde;m;;;;1;8;;;;102;Ethnic/religious minorities;;;900;Unknown;;;Unknown;0;0;m;Around 40 hooded youths attacked an asylum home housing 30 adults and 11 children. Children were threatened with gas pistols and fire extinguishers. Several of the residents suffered injuries. A five months old baby was taken to hospital. Motive not explicitly stated, but sufficiently evident to be included.;;;
1991-8-d;1991;8;d;3;DNK;Denmark;;Holbæk;;;;;1;6;;;5;102;Ethnic/religious minorities;;;201;Arson/firebomb;;;Firebomb;0;0;m;A house belonging to an immigrant family was attacked with a firebomb. A 29-year old woman was arrested and imprisoned for 15 months. The attack was preceded by quarrels between local Turks and Danes. There is limited information about this case. ;;;
1991-9-19;1991;9;19;6;DEU;Germany;Saarland;Saarlouis;Saarlouiser Straße;49.32371001607267;6.759344184492942;1;1;99;Kameradschaft Horst Wessel;;;102;Ethnic/religious minorities;;;200;Arson/firebomb;;;Arson;1;1;2;At around 3:30 a.m., a fire broke out in the stairwell of an asylum seekers' accommodation. The perpetrator(s) ignited an accelerator under the first landing of the wooden stairs. Of the 19 people who were sleeping in the four-story building at the time, 16 were able to escape. Two refugees jumped out of a window and suffered broken bones. One victim was severly burnt after trying to escape down the stairs. He later died in the hospital. Almost thirty years after the attack, the German newspaper SPIEGEL revealed a suspected perpetrator of the attack, one of the best-known neo-nazis in Saarlouis in the 1990s. At the time, he belonged to the group Kameradschaft Horst Wessel. He had participated in demonstrations with members of the forthcoming NSU. As of 2022, it is still unknown whether he acted alone or with others. ;;;
1991-9-d;1991;9;d;6;DEU;Germany;Sachsen;Hoyerswerda;m;;;;1;8;;;;102;Ethnic/religious minorities;;;201;Arson/firebomb;800;Other;Molotov cocktails and steel balls;0;0;32;A group of rioters attacked an asylum center inhabited by refugees. They threw Molotov cocktails and steel balls. Numerous people watched the event without intervening and even applauded the perpetrators. The attacks injured 32 people. Motive not explicitly stated, but sufficiently evident to be included.;;;
1991-10-3;1991;10;3;6;DEU;Germany;Nordrhein-Westfalen;Hünxe;m;;;;1;4;;;;102;Ethnic/religious minorities;;;201;Arson/firebomb;;;Molotov cocktails;0;0;2;Three skinheads set fire to a home for asylum seekers with a Molotov cocktail. Two Lebanese girls suffered severe burn injuries. The perpetrators were sentenced to imprisonment.;;;
1991-10-6;1991;10;6;15;ESP;Spain;Cataluña;Barcelona;Parc de la Ciutadella;41.38811805400936;2.185572567806114;1;1;4;;;;400;Marginalized groups;401;Marginalized groups;600;Beating/kicking;;;Beating/kicking with steel-topped boots;1;1;2;Six skinheads attacked two transvestites, killing one and badly injuring the other. The victims were kicked with steel-topped boots. When leaving the scene, the group went on to attack three homeless people. Two of them managed to escape, but one was badly injured and lost one of his eyes. The court found that the perpetrators did not belong to an organised group, but were part of the loose skinhead scene.;;;
1991-10-21;1991;10;21;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;1;"The perpetrator shot an Iranian student in the back by a lone actor, who survived. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. Only one person died in the attacks, most likely due to poor modifications to the weapons he used. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a murder in 1992. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants."" (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).
";;;
1991-10-27;1991;10;27;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;401;Marginalized groups;301;Firearms;;;Rifle;0;0;1;"The perpetrator shot a homeless person from Greece twice in the stomach, who survived. The victim reported seeing a bright red light prior to hearing the shots. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1991-10-d;1991;10;d;16;SWE;Sweden;Västra Götaland;Gothenburg;;;;;1;5;;;;102;Ethnic/religious minorities;;;100;Explosives;;;Explosives;0;0;m;Two young men attacked a refugee hostel with a bomb, causing substantial material damage. During the trial the accused claimed that they themselves and persons close to them on several occasions had been assaulted and robbed by foreigners. One of the perpetrators stated that ‘He wanted to scare people’,  get attention, and demonstrate that something was wrong in society. The same perpetrators were involved in CaseID: 1990-5-30;;;
1991-11-1;1991;11;1;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;1;"The perpetrator walked into a restaurant kitchen and shot the victim, a musician from Brazil. The victim was shot once in the head and several times in the stomach. Despite the injuries, the victim survived. He reported to police that he saw a red light before he was shot and was able to provide a good description of the perpetrator. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1991-11-8;1991;11;8;16;SWE;Sweden;Stockholm;Stockholm;Körsbärsvägen;59.34661746365646;18.06993740895427;1;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;1;1;0;"The perpetrator shot an Iranian student in the back of the head. The victim died the following day. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. After this attack, he took a trip to the United States before the second wave of shootings started. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1991-12-1;1991;12;1;6;DEU;Germany;Brandenburg;Hohenselchow;m;53.20678130066859;14.28496011814951;2;1;4;;;;401;Marginalized groups;;;500;Blunt instruments;;;Baseball bats;1;1;0;"The 30-year-old victim died December 3, 1991, three days after the victim had been attacked with baseball bats by a group of seven neo-Nazis. The victim was considered by the perpetrator to be a ""thief of vending machines"" of low social status. According to their own statements, the perpetrators belonged to ""the hard core of the right-wing scene."" The main perpetrator was sentenced to seven years in prison. ";;;
1991-12-29;1991;12;29;18;GBR;United Kingdom;England;London;Manor Park;51.55112871049877;0.05124257372771763;1;1;4;;;;102;Ethnic/religious minorities;;;500;Blunt instruments;;;Bats and sticks;1;1;7;A racist gang ambushed the victim, a Tamil refugee, and beat him to death with baseball bats and sticks. It was thought that the gang had attacked seven Asian people that day with baseball bats. Two men were charged with his murder although the charges against one of the men were later dropped. The other man was acquitted at a trial.;;;
1991-12-30;1991;12;30;16;SWE;Sweden;Västra Götaland;Gothenburg;;;;;1;99;;;;200;Political opponents;;;101;Explosives;;;Letter bomb;0;0;0;A powerful letter bomb was sent to a married couple well known for their anti-racist activities. The staff at the post office in Gothenburg became suspicious when they discovered a couple of wires sticking out of a 25 centimeter long tube and alerted the police. The package was addressed to the couple. Police suspect that refugee-hostile people are behind the letter bomb. The couple had received multiple threats from right-wing organizations over the last two years. The incident is likely connected to CaseID 1990-m-d and CaseID 1990-6-8.;;;
1992-1-4;1992;1;4;12;NLD;Netherlands;;The Hague;;;;;1;6;;;40;102;Ethnic/religious minorities;;;100;Explosives;;;Bomb;0;0;0;"The first attack in a series of bombings against immigrants in the Hague. The target was a migrant work shop. The attack was first claimed by ""Aktiefront nationalistisch Nederland"" (unknown to the police), but was later found to be committed by a 35-year-old man from the Hague. He was arrested in July and the police did not find any evidence that he was connected to an organised group. The bomb did little damage. ";;;
1992-1-21;1992;1;21;12;NLD;Netherlands;;The Hague;;;;;1;6;;;40;102;Ethnic/religious minorities;;;100;Explosives;;;Bomb;0;0;0;"The second attack in a series of bombings against immigrants in the Hague. The target was the training center of the migrant broadcasting foundation (close to the first target). The attack was first claimed by ""Rechtsextremistische commando's"" (unknown to the police), but was later found to be committed by a 35-year-old man from the Hague.  He was arrested in July and the police did not find any evidence that he was connected to an organised group. The bomb did little damage and was of the same materials and method as the first one. After the first two attacks, threatening letters were sent to Muslim organizations and others announcing that February would be ""a hot month"" for the foreign organizations in The Hague, if the government did not change its ""tolerant policy"" towards migrants. The letters were signed ""Aktiefront nationalistisch Nederland""";;;
1992-1-22;1992;1;22;16;SWE;Sweden;;Uppsala;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;1;"The perpetrator walked up to a couple in a café and shot a Swedish-Chilean PhD student in the left cheek. The victim survived and became a scientist representing Sweden in several international scientific networks. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1992-1-23;1992;1;23;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;1;"The perpetrator shot a bus driver originally from Zimbabwe in the stomach, who survived. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1992-1-23-a;1992;1;23;16;SWE;Sweden;Stockholm;Stockholm;;;;;1;6;;;54;102;Ethnic/religious minorities;;;301;Firearms;;;Rifle;0;0;2;"The perpetrator entered a club and shot a Somali refugee in the back of his head. A second victim was also struck by a bullet, but both survived. In total, the perpetrator shot eleven people in Stockholm and Uppsala area between August 1991 and January 1992, most of whom were immigrants. He was arrested in June 1992 and sentenced to life imprisonment in January 1994. Additionally, in February 2018 he was sentenced to life imprisonment in Germany for a 1992 murder. He claimed the reason for the attacks was that ""Sweden couldn't take it any more, the country was about to collapse from the pressure of refugees and immigrants"". (CaseIDs: 1991-10-21, 1991-10-27, 1991-11-1, 1991-11-8, 1991-8-3, 1992-1-22, 1992-1-23-a, 1992-1-23-b, 1992-1-28, 1992-1-30, 1992-2-23).";;;
1992-1-23-b;1992;1;23;18;GBR;United Kingdom;England;Manchester;m;53.47379831544941;-2.2330827661103343;2;2;5;;;;102;Ethnic/religious minorities;;;401;Knives/bladed weapons and sharp objects;500;Blunt instruments;Machete and 18-inch pipe;1;1;0;A 60-year-old man was beaten by three men using machetes. One of the attackers hit the victim over the head with an eighteen-inch pipe. He was found unconscious in a pool of blood with multiple deep skull fractures and died in the hospital. One of the perpetrators was involved in another racist murder three days later. (CaseID: 1992-1-26);;;
1992-1-24;1992;1;24;12;NLD;Netherlands;;Amersfoort;;;;;1;99;;;;101;Ethnic/religious minorities;;;201;Arson/firebomb;;;Molotov cocktails;0;0;0;"Unknown perpetrators threw five molotov cocktails against a mosque in Amersfoort. Three of them ignited but caused little damage. On the walls of the building, ""Holland is for Handers"" and the South African neo-Nazi variant of the swastika were sprayed. ";;;
